,molecule_cheml_id,standard_value,canonical_smiles,bioactivity_class
1506,CHEMBL383806,2490.0,Fc1ccc2c(c1)CC/C2=C/c1cccnc1,intermediate
1507,CHEMBL383807,4260.0,Clc1ccc2c(c1)CC/C2=C\c1cccnc1,intermediate
1508,CHEMBL193652,4050.0,Clc1ccc2c(c1)CC/C2=C/c1cccnc1,intermediate
1509,CHEMBL194440,7830.0,Brc1ccc2c(c1)CC/C2=C\c1cccnc1,intermediate
1510,CHEMBL176118,7370.0,Brc1ccc2c(c1)CC/C2=C/c1cccnc1,intermediate
1511,CHEMBL176609,4310.0,COc1ccc2c(c1)CC/C2=C\c1cccnc1,intermediate
1512,CHEMBL176101,5570.0,COc1ccc2c(c1)CC/C2=C/c1cccnc1,intermediate
1513,CHEMBL362441,1130.0,COc1ccc2c(c1)CCC/C2=C\c1cccnc1,intermediate
1514,CHEMBL176098,4000.0,COc1ccc2c(c1)CCC/C2=C/c1cccnc1,intermediate
1515,CHEMBL366669,980.0,COc1cc2c(cc1OC)/C(=C/c1cccnc1)CCC2,active
1516,CHEMBL425323,7080.0,CCOc1ccc2c(c1)CC/C2=C\c1cccnc1,intermediate
1517,CHEMBL176886,7680.0,CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,intermediate
1518,CHEMBL175550,3930.0,Cc1ccc2c(c1)/C(=C/c1cccnc1)CC2,intermediate
1519,CHEMBL366570,4600.0,Cc1ccc2c(c1)/C(=C\c1cccnc1)CC2,intermediate
1520,CHEMBL368305,4720.0,Cc1cccc2c1CC/C2=C\c1cccnc1,intermediate
1521,CHEMBL176009,12630.0,Cc1cccc2c1CC/C2=C/c1cccnc1,inactive
1522,CHEMBL366490,1810.0,Fc1cccc2c1CC/C2=C\c1cccnc1,intermediate
1523,CHEMBL176076,180.0,Fc1cccc2c1CC/C2=C/c1cccnc1,active
1524,CHEMBL176287,130.0,Clc1cccc2c1CC/C2=C\c1cccnc1,active
1525,CHEMBL369623,230.0,Clc1cccc2c1CC/C2=C/c1cccnc1,active
1526,CHEMBL175962,6700.0,C(=C1\CCc2ccccc21)\c1ccncc1,intermediate
1527,CHEMBL179149,12730.0,C(=C1/CCc2ccccc21)\c1ccncc1,inactive
1528,CHEMBL360026,650.0,C(=C1\CCCc2ccccc21)\c1ccncc1,active
1529,CHEMBL424960,1550.0,Fc1ccc2c(c1)CC/C2=C\c1ccncc1,intermediate
1530,CHEMBL179144,800.0,Fc1ccc2c(c1)CC/C2=C/c1ccncc1,active
1531,CHEMBL175554,5430.0,Clc1ccc2c(c1)CC/C2=C\c1ccncc1,intermediate
1532,CHEMBL175799,1990.0,Clc1ccc2c(c1)CC/C2=C/c1ccncc1,intermediate
