molecule_cheml_id,standard_value,canonical_smiles
CHEMBL341591,7100.0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12
CHEMBL2111947,50000.0,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1
CHEMBL431859,238.0,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21
CHEMBL113637,57.0,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21
CHEMBL112021,54.0,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21
CHEMBL324070,5400.0,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1
CHEMBL41761,41.0,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21
CHEMBL111868,78.5,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL111888,51.8,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL112074,205.0,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21
CHEMBL324326,50.0,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1
CHEMBL37321,6600.0,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL353068,51000.0,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21
CHEMBL41066,3200.0,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL166709,250000.0,O=C1/C(=C/c2cccnn2)CCc2ccccc21
CHEMBL424556,103000.0,O=C1/C(=C/c2ccnnc2)CCc2ccccc21
CHEMBL1630273,6800.0,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630261,50.0,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL169251,170.0,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21
CHEMBL168636,9200.0,O=C1/C(=C/c2cccnc2)CCc2ccccc21
CHEMBL90585,4600.0,O=C1/C(=C/c2ccncc2)CCc2ccccc21
CHEMBL1629805,49.0,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL433728,250000.0,c1ccc2c(c1)CCC1C(c3ccsc3)C21
CHEMBL38877,31000.0,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL169449,250000.0,O=C1c2ccccc2CCC1C(O)c1cnccn1
CHEMBL39275,40000.0,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39513,21000.0,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL2112738,11000.0,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL289116,10000.0,CCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL289116,45000.0,CCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39782,30000.0,CCC1(c2ccncc2)CCC(=O)N(C)C1=O
CHEMBL304903,370.0,c1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL488,8000.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL488,14000.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL168434,260.0,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21
CHEMBL352645,600.0,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21
CHEMBL2112739,1000.0,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL440930,13000.0,c1cncc(C2C3CCc4ccccc4C32)c1
CHEMBL1630274,31.0,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1629804,60.0,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL39661,800.0,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39661,5000.0,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38550,3000.0,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39152,3600.0,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL166789,250000.0,c1ccc(C2C3CCc4ccccc4C32)nc1
CHEMBL3349856,860.0,C[C@]12CCC[C@@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630275,150000.0,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630267,940.0,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL38439,1500.0,CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38510,245000.0,CC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL415753,18000.0,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21
CHEMBL3349864,280.0,C[C@]12CCC[C@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1629806,190.0,C[C@]12CCCC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL169664,250000.0,O=C1c2ccccc2CCC1C(O)c1cccnn1
CHEMBL168762,250000.0,O=C1c2ccccc2CCC1C(O)c1ccnnc1
CHEMBL275594,6000.0,CCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39781,385000.0,CCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL413344,38000.0,O=C1/C(=C/c2cnccn2)CCc2ccccc21
CHEMBL168444,27000.0,O=C1c2ccccc2CCC1C(O)c1ccncn1
CHEMBL288712,2500.0,CCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL169086,1100.0,O=C1/C(=C/c2cncs2)CCc2ccccc21
CHEMBL168700,250000.0,c1ccc(C2C3CCc4ccccc4C32)cc1
CHEMBL355681,250000.0,Nc1ncc(/C=C2\CCc3ccccc3C2=O)s1
CHEMBL289766,2400.0,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL1630266,1400.0,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL2111917,700.0,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL39840,10000.0,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL424203,250000.0,O=C1/C(=C/c2ccccn2)CCc2ccccc21
CHEMBL1630911,6900.0,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL40125,4000.0,CCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL28689,250000.0,O=C1/C(=C/c2ccccc2)CCc2ccccc21
CHEMBL166974,250000.0,O=C1/C(=C/c2ccsc2)CCc2ccccc21
CHEMBL2311169,660.0,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL38472,330.0,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL38472,600.0,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL276140,100000.0,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2
CHEMBL297784,100000.0,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1
CHEMBL14563,100000.0,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2
CHEMBL274318,28500.0,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL113739,187.5,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL113121,176.0,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL10137,620.0,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O
CHEMBL10072,3300.0,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21
CHEMBL113082,31.0,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL9687,8000.0,COc1ccc2c(c1)OC(c1ccccc1)CC2=O
CHEMBL10026,800.0,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21
CHEMBL2105261,56.2,C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL488,5200.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL109211,275.0,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL267508,1600.0,COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O
CHEMBL27879,225.0,CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL27386,1000.0,Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1
CHEMBL287574,1800.0,Nc1ccc(C23CC2C(=O)NC3=O)cc1
CHEMBL488,1900.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL488,13000.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL281947,5.0,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL281947,230.0,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL26543,2000.0,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1
CHEMBL27546,97.0,Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL286506,62.0,CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL281947,150.0,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL281947,12.0,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL281947,780.0,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL26651,23.0,CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL27591,31.0,CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
